"","cs_code","year","state","cs_name","all_cause_deaths_2020","cens_pop_est","total_deaths_lag1","pop_lag1","covid_deaths_2020","num_counties","death_offset_2020","death_offset_lag1","all_cause_death_rate_2020","death_rate_lag1","time","time_orig_vals","fitted_deaths_2020","fitted_death_rate_2020","pred_deaths_lwr_ci_2020","pred_deaths_upr_ci_2020","pred_death_rate_lwr_ci_2020","pred_death_rate_upr_ci_2020","pred_death_std_err","pred_death_rate_std_err","covid_death_rate_2020","excess_deaths_2020","excess_assigned_covid_deaths","excess_unassigned_covid_deaths","prop_deaths_unassigned","excess_death_rate_2020","excess_assigned_covid_death_rate","excess_unassigned_covid_death_rate","prop_death_rate_unassigned"
"27","01CS027",2020,"AL","Lauderdale",1335,91958,1135,92729,136,1,91.958,92.729,14.5174971182496,12.239968079026,22,22,1149.24536105055,12.4975027844293,1069,1230,11.6248722242763,13.3756715022075,41.9223390749313,0.455885720382472,1.47893603601644,185.754638949447,136,49.7546389494469,0.267851393810884,2.01999433382026,1.47893603601644,0.54105829780382,0.267851393810872
"28","01CS028",2020,"AL","Lee",1307,168599,1219,164542,153,1,168.599,164.542,7.7521218987064,7.40844282918647,22,22,1219.75225653611,7.23463517895191,1132.975,1306,6.71993902692187,7.74619066542506,43.5602600457717,0.25836606412714,0.907478692044437,87.2477434638874,153,-65.7522565361126,NA,0.517486719754492,0.907478692044437,-0.389991972289945,NA
"29","01CS029",2020,"AL","Limestone",1085,100452,856,98915,105,1,100.452,98.915,10.8011786724007,8.65389475812566,22,22,908.913742054234,9.04823937855129,838.975,981.05,8.35199896467965,9.76635607056106,36.5688857829632,0.364043381744148,1.04527535539362,176.086257945766,105,71.0862579457663,0.403701338054787,1.75293929384942,1.04527535539362,0.707663938455795,0.403701338054771
"30","01CS030",2020,"AL","Macon+Tallapoosa",947,57994,858,58435,125,2,57.994,58.435,16.3292754422871,14.6829810901001,22,22,833.111314175251,14.3654742589794,760,906.025,13.1048039452357,15.622736834845,37.197626569748,0.641404741348208,2.15539538572956,113.888685824749,125,-11.1113141752505,NA,1.96380118330771,2.15539538572956,-0.191594202421846,NA
"31","01CS031",2020,"AL","Madison",3763,376126,3360,372909,232,1,376.126,372.909,10.0046261093357,9.01024110439812,22,22,3588.95032439297,9.54188310404751,3434.95,3726,9.13244497854443,9.90625481886389,77.418811560133,0.20583211891795,0.616814578093511,174.049675607028,232,-57.9503243929717,NA,0.462743005288194,0.616814578093511,-0.154071572805317,NA
"32","01CS032",2020,"AL","Marshall",1414,97089,1129,96774,157,1,97.089,96.774,14.5639567819217,11.6663566660467,22,22,1207.33239199386,12.4353159677601,1116.975,1293,11.5046503723388,13.3176775947842,44.2107293378948,0.455362907619759,1.61707299488099,206.667608006135,157,49.6676080061352,0.240326040860069,2.12864081416155,1.61707299488099,0.511567819280568,0.240326040860054
"33","01CS033",2020,"AL","Mobile",5214,412013,4574,413210,503,1,412.013,413.21,12.6549404994503,11.0694320079379,22,22,4515.58530594379,10.9598126902398,4321.9,4694.1,10.4897175574557,11.393087111329,93.9766948672817,0.228091576885394,1.22083526490669,698.414694056213,503,195.414694056213,0.279797512451084,1.69512780921046,1.22083526490669,0.47429254430377,0.2797975124511
"34","01CS034",2020,"AL","Montgomery",2771,223123,2124,226486,356,1,223.123,226.486,12.4191589392398,9.37806310323817,22,22,2175.75283658252,9.75136062433061,2065.975,2293,9.25935470570044,10.2768428176387,57.9504933860246,0.259724427271167,1.59553250897487,595.247163417483,356,239.247163417483,0.401929111335696,2.6677983149092,1.59553250897487,1.07226580593432,0.401929111335698
"35","01CS035",2020,"AL","Morgan",1735,119621,1458,119679,180,1,119.621,119.679,14.5041422492706,12.1825884240343,22,22,1460.8603500479,12.2124071028322,1358,1556,11.3525217144147,13.0077494754266,50.3395972376622,0.420825751646134,1.50475251001078,274.139649952104,180,94.1396499521038,0.343400343469292,2.29173514643835,1.50475251001078,0.78698263642757,0.343400343469288
"36","01CS036",2020,"AL","Russell",750,59327,635,57961,77,1,59.327,57.961,12.6417988436968,10.9556425872569,22,22,674.61171980231,11.3710742124549,613,735,10.3325635882482,12.3889628668229,31.3643679926693,0.528669374697344,1.29789134795287,75.3882801976899,77,-1.61171980231006,NA,1.27072463124193,1.29789134795287,-0.027166716710942,NA
"37","01CS037",2020,"AL","St. Clair",1221,90109,965,89512,142,1,90.109,89.512,13.5502558013073,10.780677451068,22,22,1027.01722909157,11.3974989078957,950.975,1102,10.5536072978282,12.2296330000333,38.0617063396991,0.422396279391616,1.57586922504966,193.98277090843,142,51.98277090843,0.267976226264798,2.15275689341164,1.57586922504966,0.576887668361978,0.267976226264796
"38","01CS038",2020,"AL","Shelby",1841,219623,1635,217702,159,1,219.623,217.702,8.3825464546063,7.51026632736493,22,22,1623.26942371666,7.39116314646765,1526,1722.05,6.94827044526302,7.84093651393524,50.7907501352293,0.231263347350821,0.723967890430419,217.730576283335,159,58.7305762833353,0.269739681425858,0.99138330813865,0.723967890430419,0.267415417708231,0.269739681425856
"39","01CS039",2020,"AL","Tuscaloosa",2205,211282,1738,209355,265,1,211.282,209.355,10.4362889408468,8.30168851950037,22,22,1821.645744699,8.62186908822804,1716.975,1929,8.12646131710226,9.1299779441694,53.981717282806,0.255496054007469,1.25424787724463,383.354255301003,265,118.354255301003,0.308733380846583,1.81441985261876,1.25424787724463,0.560171975374128,0.308733380846572
"40","01CS040",2020,"AL","Walker+Winston",1679,86733,1310,87150,213,2,86.733,87.15,19.3582604083797,15.0315547905909,22,22,1386.8075194017,15.9893871928989,1287.975,1483.075,14.8498841271488,17.0993162925299,49.3251530329276,0.568701106071824,2.45581266645913,292.192480598298,213,79.1924805982981,0.271028468755056,3.36887321548078,2.45581266645913,0.913060549021647,0.271028468755047
"41","02CS001",2020,"AK","Anchorage  ",2076,286498,1840,288000,139,1,286.498,288,7.24612388219115,6.38888888888889,22,22,1834.70388102519,6.40389769221841,1726.975,1929,6.02787803056217,6.73303129515738,51.3083623988532,0.179088029929888,0.485169180936691,241.29611897481,139,102.29611897481,0.423944319574775,0.84222618997274,0.485169180936691,0.357057009036049,0.423944319574776
"42","02CS002",2020,"AK","Fairbanks North Star ",544,97653,472,96849,21,1,97.653,96.849,5.57074539440673,4.87356606676372,22,22,494.801271884251,5.06693365164666,443,545.025,4.53647097375401,5.58124174372523,26.1239582987953,0.267518235986558,0.215047156769377,49.1987281157489,21,28.1987281157489,0.573159697328075,0.503811742760072,0.215047156769377,0.288764585990695,0.573159697328079
"43","02CS003",2020,"AK","Kenai Peninsula  ",470,58537,437,58708,21,1,58.537,58.708,8.02910979380563,7.44361926824283,22,22,504.437863687724,8.61741913127978,452.975,560.025,7.73826810393426,9.56702598356595,26.3263168513744,0.449738060566383,0.358747458872166,-34.4378636877244,21,-55.4378636877244,NA,-0.588309337474151,0.358747458872166,-0.947056796346317,NA
"44","02CS004",2020,"AK","Matanuska-Susitna  ",761,110079,651,108317,34,1,110.079,108.317,6.91321687151955,6.01013691294995,22,22,655.640632407775,5.95609182866646,600,723.025,5.45063091052789,6.56823735680738,30.6966272075927,0.278859975177761,0.308869084929914,105.359367592225,34,71.3593675922253,0.67729494987488,0.957125042853095,0.308869084929914,0.648255957923181,0.677294949874882
"45","02CS005",2020,"AK","Northern Alaska",380,50780,372,50879,25,7,50.78,50.879,7.48326112642773,7.31146445488315,22,22,375.650012120217,7.39759771800349,331,422.025,6.51831429696731,8.31085072863332,23.2260936540441,0.457386641473889,0.492319810949193,4.34998787978287,25,-20.6500121202171,NA,0.0856634084242422,0.492319810949193,-0.40665640252495,NA
"46","02CS006",2020,"AK","Southeast Alaska",552,72988,485,72779,25,10,72.988,72.779,7.56288704992602,6.66401022272908,22,22,543.807818812678,7.45064693939659,488,599.025,6.68603058036938,8.20717104181509,28.9063343779035,0.396042286100503,0.342522058420562,8.19218118732192,25,-16.8078188126781,NA,0.112240110529433,0.342522058420562,-0.23028194789113,NA
"47","02CS007",2020,"AK","Southwest Alaska",317,48359,284,47699,25,7,48.359,47.699,6.55513968444343,5.95400322857922,22,22,276.259836204249,5.71268711520604,238,314,4.92152443185343,6.49310366219318,19.6354091705086,0.4060342267315,0.516966852085444,40.7401637957509,25,15.7401637957509,0.386354946304672,0.842452569237386,0.516966852085444,0.325485717151942,0.38635494630467
"48","04CS001",2020,"AZ","Apache",1172,72304,741,71887,315,1,72.304,71.887,16.2093383491923,10.3078442555678,22,22,783.779340497302,10.840055052242,716,849,9.90263332595707,11.742088957734,33.9625873033304,0.469719341991181,4.35660544368223,388.220659502698,315,73.2206595026976,0.188605777952394,5.36928329695034,4.35660544368223,1.01267785326811,0.188605777952394
"49","04CS002",2020,"AZ","Cochise+Graham+Greenee",2092,177492,1760,174257,240,3,177.492,174.257,11.7864467130913,10.1000246761967,22,22,1874.7364417602,10.5623714970827,1773,1976.025,9.98918261104726,11.1330369819485,52.2610988542477,0.294441996564621,1.35217361909269,217.263558239796,240,-22.7364417602041,NA,1.22407521600859,1.35217361909269,-0.128098403084102,NA
"50","04CS003",2020,"AZ","Coconino",1178,144675,859,143476,219,1,144.675,143.476,8.14238811128391,5.98706403858485,22,22,925.839876569162,6.39944618330162,856,996.025,5.91670986694315,6.88456886124071,35.9159133509345,0.248252381896903,1.5137376879212,252.160123430838,219,33.1601234308381,0.131504232230173,1.74294192798229,1.5137376879212,0.229204240061089,0.131504232230173
"51","04CS004",2020,"AZ","Gila",975,54423,818,54018,131,1,54.423,54.018,17.915219668155,15.1431004479988,22,22,841.294139194131,15.458430060712,777,914.075,14.2770519816989,16.7957481211988,35.3629922407624,0.649780281145148,2.40707054002903,133.705860805869,131,2.70586080586918,0.0202374135999759,2.45678960744297,2.40707054002903,0.0497190674139394,0.0202374135999733
"52","04CS005",2020,"AZ","La Paz+Yavapai",4084,261610,3384,256207,316,2,261.61,256.207,15.6110240434234,13.2080700371184,22,22,3704.11491760759,14.1589194511203,3541.95,3889.1,13.5390466725278,14.8660219410573,89.3425137085126,0.341510315769705,1.20790489660181,379.885082392414,316,63.8850823924136,0.168169494811648,1.45210459230308,1.20790489660181,0.244199695701272,0.16816949481164
"53","04CS006",2020,"AZ","Maricopa",40958,4568936,32792,4485414,4829,1,4568.936,4485.414,8.96445036656237,7.3108078763744,22,22,34322.2951979434,7.5120980460097,33667.975,35028.075,7.36888741711418,7.66657160441731,348.71910330811,0.0763239194657377,1.05692003564944,6635.70480205664,4829,1806.70480205664,0.272270219358865,1.45235232055267,1.05692003564944,0.395432284903233,0.272270219358865
"54","04CS007",2020,"AZ","Mohave",4041,214163,3375,212181,363,1,214.163,212.181,18.8688055359703,15.9062310008907,22,22,3651.9085651312,17.0520050855246,3460.95,3829,16.1603544963416,17.8789053197798,93.2016210866162,0.435190117278037,1.69497065319406,389.091434868804,363,26.0914348688038,0.0670573354502175,1.81680045044574,1.69497065319406,0.121829797251678,0.0670573354502347
"55","04CS008",2020,"AZ","Navajo",1737,113164,1203,110924,390,1,113.164,110.924,15.3494044042275,10.8452634236054,22,22,1216.91527209259,10.7535547708864,1134,1302,10.0208546887703,11.5054257537733,42.7123310324106,0.377437445056825,3.44632568661412,520.084727907412,390,130.084727907412,0.250122183804194,4.5958496333411,3.44632568661412,1.14952394672698,0.250122183804195
"56","04CS009",2020,"AZ","Pima+Santa Cruz",12760,1108432,10326,1093777,1380,2,1108.432,1093.777,11.5117571488373,9.44068123575464,22,22,10685.8345942964,9.64049629954423,10376.975,11016.05,9.36185079463603,9.93840849055242,159.739696464675,0.14411321259642,1.2450019486987,2074.16540570359,1380,694.165405703594,0.334672154783201,1.87126084929307,1.2450019486987,0.62625890059437,0.334672154783209
"57","04CS010",2020,"AZ","Pinal",4291,479124,3338,462789,431,1,479.124,462.789,8.95592790175403,7.21279027807489,22,22,3619.98860165488,7.55543158275286,3482.975,3770.075,7.26946468972541,7.86868326362278,73.3311531139189,0.153052556569737,0.899558360674898,671.01139834512,431,240.01139834512,0.35768602282621,1.40049631900117,0.899558360674898,0.500937958326274,0.357686022826208
"58","04CS011",2020,"AZ","Yuma",2453,216853,1640,213787,568,1,216.853,213.787,11.3118103046764,7.67118674194408,22,22,1677.77153037726,7.73690716926792,1582.975,1773.025,7.29976066736453,8.17616080939623,48.8876837416299,0.225441583660959,2.61928587568537,775.228469622743,568,207.228469622743,0.267312770032283,3.57490313540848,2.61928587568537,0.955617259723105,0.267312770032275
"59","05CS001",2020,"AR","Arkansas (county)+Monroe+Phillips+Prairie",910,48848,726,50031,90,4,48.848,50.031,18.6292171634458,14.5110031780296,22,22,732.825789461298,15.0021656866463,672,799.025,13.7569603668523,16.35737389453,33.0760400354157,0.677121684314931,1.842450049132,177.174210538702,90,87.1742105387021,0.49202539282465,3.62705147679951,1.842450049132,1.78460142766751,0.492025392824651
"60","05CS002",2020,"AR","Baxter+Marion",1166,59486,960,58626,105,2,59.486,58.626,19.6012507144538,16.3749872070412,22,22,1001.45102911784,16.835070926232,918.975,1088,15.4485929462395,18.2900178193188,41.9430784018749,0.705091591330312,1.76512120498941,164.548970882164,105,59.5489708821635,0.361892089406063,2.76617978822181,1.76512120498941,1.0010585832324,0.361892089406058
"61","05CS003",2020,"AR","Benton",2301,284998,1954,279141,294,1,284.998,279.141,8.07374086835697,7.00004657144597,22,22,2003.78381404425,7.03086973959202,1893,2106.025,6.64215187475,7.38961326044393,54.2983696988404,0.190521932430545,1.03158618656973,297.216185955752,294,3.21618595575228,0.0108210323250399,1.04287112876495,1.03158618656973,0.0112849421952148,0.0108210323250385
"62","05CS004",2020,"AR","Boone+Carroll+Madison",1124,82957,982,82388,118,3,82.957,82.388,13.5491881336114,11.9192115356605,22,22,1044.31181135802,12.5885918169415,972.975,1127.025,11.7286666586304,13.5856528080813,39.573127541596,0.477031806135661,1.42242366527237,79.6881886419833,118,-38.3118113580167,NA,0.960596316669891,1.42242366527237,-0.461827348602479,NA
"63","05CS005",2020,"AR","Bradley+Calhoun+Cleveland+Union",1023,62597,840,62590,134,4,62.597,62.59,16.3426362285733,13.4206742291101,22,22,899.098542183453,14.3632848568374,827,974,13.2114957585827,15.5598511110756,36.89324445595,0.589377197884084,2.14067766825886,123.901457816547,134,-10.0985421834532,NA,1.97935137173586,2.14067766825886,-0.161326296523001,NA
"64","05CS006",2020,"AR","Clark+Dallas+Ouachita ",825,51848,719,52711,76,3,51.848,52.711,15.9118963122975,13.6404166113335,22,22,685.324699474597,13.2179582524803,625,754,12.0544669032557,14.5425088720876,32.8599217658603,0.633774142992213,1.46582317543589,139.675300525403,76,63.6753005254028,0.455880891509678,2.69393805981723,1.46582317543589,1.22811488438134,0.455880891509681
"65","05CS007",2020,"AR","Clay+Greene",833,60736,743,59876,92,2,60.736,59.876,13.7150948366702,12.4089785556817,22,22,758.023537672736,12.4806299010922,695,828,11.442966280295,13.6327713382508,34.5382205633075,0.56866142919039,1.51475237091675,74.9764623272645,92,-17.0235376727355,NA,1.23446493557801,1.51475237091675,-0.280287435338749,NA
"66","05CS008",2020,"AR","Columbia+Lafayette+Miller",1092,72625,892,73338,121,3,72.625,73.338,15.0361445783133,12.1628623633042,22,22,898.629245537556,12.3735524342521,826,975,11.3734939759036,13.4251290877797,37.9043208161884,0.521918358914815,1.66609294320138,193.370754462444,121,72.3707544624441,0.37425904792909,2.66259214406124,1.66609294320138,0.996499200859863,0.374259047929101
"67","05CS009",2020,"AR","Conway+Pope",1056,85625,898,84918,78,2,85.625,84.918,12.3328467153285,10.5749075578794,22,22,942.372868868052,11.0058145269262,866.975,1012,10.1252554744526,11.8189781021898,37.131991338747,0.433658293007264,0.910948905109489,113.627131131948,78,35.6271311319481,0.31354422818769,1.32703218840235,0.910948905109489,0.416083283292858,0.313544228187707
"68","05CS010",2020,"AR","Craighead",1183,111626,987,110332,135,1,111.626,110.332,10.5978893806103,8.94572744081499,22,22,993.302290704324,8.89848503667895,922,1072,8.25972443695913,9.60349739308047,39.483235047927,0.353710023183909,1.2093956605092,189.697709295676,135,54.6977092956755,0.288341432792001,1.69940434393135,1.2093956605092,0.490008683422148,0.28834143279202
"69","05CS011",2020,"AR","Crawford",785,64365,656,63257,65,1,64.365,63.257,12.1960692923173,10.3703937904105,22,22,675.970695290777,10.5021470564869,610,739.025,9.47720034180067,11.4817835780315,33.2491655084305,0.516572135608336,1.00986561019187,109.029304709223,65,44.029304709223,0.403830005397608,1.69392223583043,1.00986561019187,0.68405662563856,0.403830005397624
"70","05CS012",2020,"AR","Crittenden",638,47581,535,47955,90,1,47.581,47.955,13.4087135621361,11.1562923574184,22,22,525.64542597163,11.0473808026656,473,580,9.94094281330783,12.189739601942,27.4004844034836,0.575870292837132,1.89151131754272,112.35457402837,90,22.3545740283702,0.198964521219452,2.36133275947054,1.89151131754272,0.469821441927828,0.198964521219437
