"cs_code","year","state","cs_name","total_deaths","population","total_deaths_lag1","pop_lag1","num_counties","death_offset","death_offset_lag1","total_death_rate","death_rate_lag1","n","time","time_orig_vals","fitted_deaths","fitted_death_rate","pred_deaths_lwr_ci","pred_deaths_upr_ci","pred_death_rate_lwr_ci","pred_death_rate_upr_ci","pred_death_std_err","pred_death_rate_std_err"
"01CS001",2011,"AL","Autauga",456,55227,433,54773,1,55.227,54.773,8.25683089793036,7.90535482810874,10,13,13,493.974519708428,8.94443876561154,442,547,8.00333170369566,9.90457566045594,26.9277958657999,0.487583896749776
"01CS001",2012,"AL","Autauga",514,54954,456,55227,1,54.954,55.227,9.35327728645776,8.25683089793036,10,14,14,496.458564832511,9.03407513252012,445,551,8.09768169741966,10.0265676747825,26.8380080981931,0.48837224038638
"01CS001",2013,"AL","Autauga",535,54727,514,54954,1,54.727,54.954,9.77579622489813,9.35327728645776,10,15,15,493.874656425921,9.0243327137596,441.975,550,8.07599539532589,10.0498839695214,27.3857792458952,0.500407097883955
"01CS001",2014,"AL","Autauga",482,54893,535,54727,1,54.893,54.727,8.78071885304137,9.77579622489813,10,16,16,499.810067803694,9.10516947158461,448.975,553,8.17909387353579,10.074144244257,27.0329202784083,0.49246571108171
"01CS001",2015,"AL","Autauga",523,54864,482,54893,1,54.864,54.893,9.53266258384369,8.78071885304137,10,17,17,514.731549704362,9.38195446384446,462,567,8.42082239720035,10.3346456692913,27.1446460062902,0.494762430852475
"01CS001",2016,"AL","Autauga",520,55243,523,54864,1,55.243,54.864,9.41295729775718,9.53266258384369,10,18,18,520.380855165561,9.4198514773919,467,571,8.45355972702424,10.3361511865757,27.5749225085285,0.499156861657196
"01CS001",2017,"AL","Autauga",528,55390,520,55243,1,55.39,55.243,9.53240657158332,9.41295729775718,10,19,19,530.690653706068,9.58098309633631,475,584.025,8.57555515435999,10.5438707347897,27.4706081168639,0.495948873747318
"01CS001",2018,"AL","Autauga",536,55533,528,55390,1,55.533,55.39,9.65191867898367,9.53240657158332,10,20,20,539.245539233294,9.71036211321725,487,592.025,8.76956044153926,10.66077827598,27.8918250551108,0.502256767239493
"01CS001",2019,"AL","Autauga",545,55869,536,55533,1,55.869,55.533,9.75496250156616,9.65191867898367,10,21,21,549.833593424281,9.8414790567986,496,607,8.87791082711343,10.8647013549553,28.9163393028696,0.517573955196434
"01CS001",2020,"AL","Autauga",651,55911,545,55869,1,55.911,55.869,11.6435048559317,9.75496250156616,10,22,22,557.813050158856,9.97680331524844,503,613,8.99644077194112,10.963853266799,28.4986751531626,0.509714996211167
"01CS002",2011,"AL","Baldwin",1852,186558,1798,183112,1,186.558,183.112,9.92720762443851,9.81912709161606,10,13,13,1804.71002576703,9.67372091128243,1706,1910.025,9.14460918320308,10.2382369021966,53.1998404040747,0.285165151878101
"01CS002",2012,"AL","Baldwin",1801,190145,1852,186558,1,190.145,186.558,9.47171895132662,9.92720762443851,10,14,14,1855.43280395671,9.75798892401436,1749.975,1965.025,9.20337111152016,10.3343501012385,55.149548608413,0.290039436263972
"01CS002",2013,"AL","Baldwin",1973,194885,1801,190145,1,194.885,190.145,10.1239192344203,9.47171895132662,10,15,15,1934.35460805268,9.92562079201929,1825.925,2052.025,9.36924339995382,10.5294147830772,57.3249150883792,0.294147395070833
"01CS002",2014,"AL","Baldwin",1952,199183,1973,194885,1,199.183,194.885,9.80003313535794,10.1239192344203,10,16,16,1978.20556960238,9.93159842758858,1868.975,2089,9.38320539403463,10.4878428379932,57.9309779151207,0.29084298316182
"01CS002",2015,"AL","Baldwin",2092,202939,1952,199183,1,202.939,199.183,10.3085163522044,9.80003313535794,10,17,17,2046.13471233793,10.0825110616389,1932.95,2158.025,9.52478330927027,10.6338604211118,57.1227300230415,0.281477340595162
"01CS002",2016,"AL","Baldwin",1974,207601,2092,202938.999999999,1,207.601,202.938999999999,9.50862471760733,10.3085163522044,10,18,18,2098.86964059397,10.1101133452824,1984,2221,9.55679404241791,10.6984070404285,59.9497867880774,0.288774075211956
"01CS002",2017,"AL","Baldwin",2189,212521,1974,207601,1,212.521,207.601,10.3001585725646,9.50862471760733,10,19,19,2196.71606015283,10.3364658558582,2083,2321.05,9.80138433378348,10.9215089332348,60.5297052712156,0.284817525191466
"01CS002",2018,"AL","Baldwin",2357,217855,2189,212521,1,217.855,212.521,10.819122811044,10.3001585725646,10,20,20,2248.55477840031,10.3213365697382,2128.975,2365.025,9.77244038465952,10.8559592389433,59.6770296417882,0.273930043569292
"01CS002",2019,"AL","Baldwin",2283,223234,2357,217855.000000001,1,223.234,217.855000000001,10.2269367569456,10.819122811044,10,21,21,2310.02180113641,10.3479837351676,2190.95,2436,9.81458917548402,10.9123162242311,63.0166210894676,0.282289530669466
"01CS002",2020,"AL","Baldwin",2691,229157,2283,223234.000000001,1,229.157,223.234000000001,11.7430407973573,10.2269367569456,10,22,22,2416.94544208865,10.5471159165491,2300,2539.025,10.0367870062883,11.0798491863657,62.9016416043057,0.274491469186216
"01CS003",2011,"AL","Barbour+Bullock+Henry",642,55393,622,55499.0000000001,3,55.393,55.4990000000001,11.5899120827541,11.2074091425071,10,13,13,604.522052125108,10.9133293399005,549,665,9.91099958478508,12.0051270016067,29.6049071359213,0.534452135394749
"01CS003",2012,"AL","Barbour+Bullock+Henry",614,54928,642,55393,3,54.928,55.393,11.1782697349257,11.5899120827541,10,14,14,608.988449048113,11.0870311871562,549,670,9.99490241771046,12.1977861928343,30.4977557224151,0.555231498004936
